행정구역,연도,월,연령대,인구수
서울특별시,2018,07,0~9세,705268
부산광역시,2018,07,0~9세,254835
대구광역시,2018,07,0~9세,197767
인천광역시,2018,07,0~9세,255307
광주광역시,2018,07,0~9세,133095
대전광역시,2018,07,0~9세,131243
울산광역시,2018,07,0~9세,110117
세종특별자치시,2018,07,0~9세,43340
경기도,2018,07,0~9세,1216589
강원도,2018,07,0~9세,114267
충청북도,2018,07,0~9세,134976
충청남도,2018,07,0~9세,191215
전라북도,2018,07,0~9세,146793
전라남도,2018,07,0~9세,147698
경상북도,2018,07,0~9세,210739
경상남도,2018,07,0~9세,301690
제주특별자치도,2018,07,0~9세,64256
서울특별시,2018,07,10~19세,870511
부산광역시,2018,07,10~19세,301270
대구광역시,2018,07,10~19세,253903
인천광역시,2018,07,10~19세,295874
광주광역시,2018,07,10~19세,174775
대전광역시,2018,07,10~19세,163170
울산광역시,2018,07,10~19세,123049
세종특별자치시,2018,07,10~19세,35159
경기도,2018,07,10~19세,1397573
강원도,2018,07,10~19세,152741
충청북도,2018,07,10~19세,162018
충청남도,2018,07,10~19세,215503
전라북도,2018,07,10~19세,194051
전라남도,2018,07,10~19세,186435
경상북도,2018,07,10~19세,247919
경상남도,2018,07,10~19세,349496
제주특별자치도,2018,07,10~19세,74188
서울특별시,2018,07,20~29세,1453766
부산광역시,2018,07,20~29세,448642
대구광역시,2018,07,20~29세,333189
인천광역시,2018,07,20~29세,410998
광주광역시,2018,07,20~29세,205385
대전광역시,2018,07,20~29세,214416
울산광역시,2018,07,20~29세,155294
세종특별자치시,2018,07,20~29세,32549
경기도,2018,07,20~29세,1740914
강원도,2018,07,20~29세,183353
충청북도,2018,07,20~29세,200134
충청남도,2018,07,20~29세,248035
전라북도,2018,07,20~29세,218117
전라남도,2018,07,20~29세,205886
경상북도,2018,07,20~29세,301458
경상남도,2018,07,20~29세,395991
제주특별자치도,2018,07,20~29세,81104
서울특별시,2018,07,30~39세,1559561
부산광역시,2018,07,30~39세,459914
대구광역시,2018,07,30~39세,320881
인천광역시,2018,07,30~39세,436056
광주광역시,2018,07,30~39세,202586
대전광역시,2018,07,30~39세,211780
울산광역시,2018,07,30~39세,168085
세종특별자치시,2018,07,30~39세,56597
경기도,2018,07,30~39세,1940255
강원도,2018,07,30~39세,176935
충청북도,2018,07,30~39세,206269
충청남도,2018,07,30~39세,290361
전라북도,2018,07,30~39세,211119
전라남도,2018,07,30~39세,207557
경상북도,2018,07,30~39세,322995
경상남도,2018,07,30~39세,446947
제주특별자치도,2018,07,30~39세,87781
서울특별시,2018,07,40~49세,1615629
부산광역시,2018,07,40~49세,534781
대구광역시,2018,07,40~49세,410898
인천광역시,2018,07,40~49세,500099
광주광역시,2018,07,40~49세,249793
대전광역시,2018,07,40~49세,253649
울산광역시,2018,07,40~49세,197424
세종특별자치시,2018,07,40~49세,56377
경기도,2018,07,40~49세,2302081
강원도,2018,07,40~49세,237246
충청북도,2018,07,40~49세,251720
충청남도,2018,07,40~49세,334563
전라북도,2018,07,40~49세,286078
전라남도,2018,07,40~49세,276022
경상북도,2018,07,40~49세,405462
경상남도,2018,07,40~49세,558921
제주특별자치도,2018,07,40~49세,114550
서울특별시,2018,07,50~59세,1551864
부산광역시,2018,07,50~59세,596442
대구광역시,2018,07,50~59세,430178
인천광역시,2018,07,50~59세,512251
광주광역시,2018,07,50~59세,229124
대전광역시,2018,07,50~59세,241570
울산광역시,2018,07,50~59세,209660
세종특별자치시,2018,07,50~59세,36622
경기도,2018,07,50~59세,2120904
강원도,2018,07,50~59세,271938
충청북도,2018,07,50~59세,269877
충청남도,2018,07,50~59세,335276
전라북도,2018,07,50~59세,303259
전라남도,2018,07,50~59세,318985
경상북도,2018,07,50~59세,466105
경상남도,2018,07,50~59세,576361
제주특별자치도,2018,07,50~59세,107332
서울특별시,2018,07,60~69세,1125188
부산광역시,2018,07,60~69세,480026
대구광역시,2018,07,60~69세,287057
인천광역시,2018,07,60~69세,304926
광주광역시,2018,07,60~69세,141722
대전광역시,2018,07,60~69세,155672
울산광역시,2018,07,60~69세,121079
세종특별자치시,2018,07,60~69세,22906
경기도,2018,07,60~69세,1242672
강원도,2018,07,60~69세,201170
충청북도,2018,07,60~69세,188418
충청남도,2018,07,60~69세,242597
전라북도,2018,07,60~69세,227729
전라남도,2018,07,60~69세,241020
경상북도,2018,07,60~69세,358052
경상남도,2018,07,60~69세,394720
제주특별자치도,2018,07,60~69세,67805
서울특별시,2018,07,70~79세,651379
부산광역시,2018,07,70~79세,267518
대구광역시,2018,07,70~79세,161473
인천광역시,2018,07,70~79세,161489
광주광역시,2018,07,70~79세,85561
대전광역시,2018,07,70~79세,83270
울산광역시,2018,07,70~79세,52283
세종특별자치시,2018,07,70~79세,12221
경기도,2018,07,70~79세,697563
강원도,2018,07,70~79세,136160
충청북도,2018,07,70~79세,117538
충청남도,2018,07,70~79세,163139
전라북도,2018,07,70~79세,162215
전라남도,2018,07,70~79세,191972
경상북도,2018,07,70~79세,232835
경상남도,2018,07,70~79세,230282
제주특별자치도,2018,07,70~79세,43208
서울특별시,2018,07,80~89세,232591
부산광역시,2018,07,80~89세,95895
대구광역시,2018,07,80~89세,65376
인천광역시,2018,07,80~89세,66253
광주광역시,2018,07,80~89세,34142
대전광역시,2018,07,80~89세,35129
울산광역시,2018,07,80~89세,19171
세종특별자치시,2018,07,80~89세,6039
경기도,2018,07,80~89세,290359
강원도,2018,07,80~89세,60634
충청북도,2018,07,80~89세,57408
충청남도,2018,07,80~89세,89562
전라북도,2018,07,80~89세,81924
전라남도,2018,07,80~89세,97293
경상북도,2018,07,80~89세,117752
경상남도,2018,07,80~89세,108768
