"행정구역","2017년01월_계_총인구수","2017년01월_계_연령구간인구수","2017년01월_계_0~9세","2017년01월_계_10~19세","2017년01월_계_20~29세","2017년01월_계_30~39세","2017년01월_계_40~49세","2017년01월_계_50~59세","2017년01월_계_60~69세","2017년01월_계_70~79세","2017년01월_계_80~89세","2017년01월_계_90~99세","2017년01월_계_100세 이상","2017년02월_계_총인구수","2017년02월_계_연령구간인구수","2017년02월_계_0~9세","2017년02월_계_10~19세","2017년02월_계_20~29세","2017년02월_계_30~39세","2017년02월_계_40~49세","2017년02월_계_50~59세","2017년02월_계_60~69세","2017년02월_계_70~79세","2017년02월_계_80~89세","2017년02월_계_90~99세","2017년02월_계_100세 이상","2017년03월_계_총인구수","2017년03월_계_연령구간인구수","2017년03월_계_0~9세","2017년03월_계_10~19세","2017년03월_계_20~29세","2017년03월_계_30~39세","2017년03월_계_40~49세","2017년03월_계_50~59세","2017년03월_계_60~69세","2017년03월_계_70~79세","2017년03월_계_80~89세","2017년03월_계_90~99세","2017년03월_계_100세 이상","2017년04월_계_총인구수","2017년04월_계_연령구간인구수","2017년04월_계_0~9세","2017년04월_계_10~19세","2017년04월_계_20~29세","2017년04월_계_30~39세","2017년04월_계_40~49세","2017년04월_계_50~59세","2017년04월_계_60~69세","2017년04월_계_70~79세","2017년04월_계_80~89세","2017년04월_계_90~99세","2017년04월_계_100세 이상","2017년05월_계_총인구수","2017년05월_계_연령구간인구수","2017년05월_계_0~9세","2017년05월_계_10~19세","2017년05월_계_20~29세","2017년05월_계_30~39세","2017년05월_계_40~49세","2017년05월_계_50~59세","2017년05월_계_60~69세","2017년05월_계_70~79세","2017년05월_계_80~89세","2017년05월_계_90~99세","2017년05월_계_100세 이상","2017년06월_계_총인구수","2017년06월_계_연령구간인구수","2017년06월_계_0~9세","2017년06월_계_10~19세","2017년06월_계_20~29세","2017년06월_계_30~39세","2017년06월_계_40~49세","2017년06월_계_50~59세","2017년06월_계_60~69세","2017년06월_계_70~79세","2017년06월_계_80~89세","2017년06월_계_90~99세","2017년06월_계_100세 이상"
"전국  (0000000000)","51,704,332","51,704,332","4,553,586","5,461,374","6,755,312","7,519,950","8,793,768","8,431,657","5,404,647","3,250,299","1,337,557","178,481","17,701","51,712,221","51,712,221","4,546,447","5,442,982","6,741,662","7,510,569","8,779,846","8,454,764","5,416,992","3,273,742","1,346,869","180,505","17,843","51,714,935","51,714,935","4,536,968","5,424,384","6,756,879","7,491,114","8,752,673","8,466,159","5,444,588","3,282,572","1,359,806","182,301","17,491","51,722,903","51,722,903","4,526,269","5,408,061","6,766,120","7,481,670","8,741,269","8,474,119","5,463,878","3,290,319","1,369,796","183,911","17,491","51,732,586","51,732,586","4,519,915","5,392,999","6,773,950","7,473,487","8,730,445","8,479,519","5,482,102","3,301,064","1,376,666","184,896","17,543","51,736,224","51,736,224","4,513,039","5,379,104","6,778,729","7,465,288","8,729,042","8,479,921","5,496,858","3,313,052","1,378,889","184,927","17,375"
"서울특별시  (1100000000)","9,930,478","9,930,478","758,597","930,398","1,442,058","1,618,777","1,677,540","1,569,688","1,080,480","606,207","209,628","31,570","5,535","9,931,412","9,931,412","756,305","928,179","1,441,641","1,617,132","1,674,901","1,571,938","1,080,899","611,823","211,130","31,892","5,572","9,926,968","9,926,968","754,248","924,576","1,447,067","1,612,312","1,668,884","1,570,953","1,084,523","614,087","212,826","32,097","5,395","9,922,745","9,922,745","751,866","920,609","1,448,561","1,610,560","1,666,030","1,570,403","1,086,636","616,067","214,351","32,278","5,384","9,919,016","9,919,016","750,415","916,728","1,450,077","1,609,057","1,663,287","1,568,973","1,088,635","618,465","215,576","32,406","5,397","9,914,381","9,914,381","748,633","913,505","1,451,061","1,606,867","1,661,946","1,567,324","1,090,081","621,069","216,088","32,434","5,373"
"부산광역시  (2600000000)","3,496,779","3,496,779","266,404","323,756","454,531","482,123","557,439","609,488","456,548","247,615","86,799","10,495","1,581","3,495,478","3,495,478","266,012","322,597","453,546","481,180","555,913","609,450","457,624","249,488","87,459","10,625","1,584","3,493,041","3,493,041","265,521","320,977","453,694","479,900","553,516","608,866","459,477","250,471","88,349","10,719","1,551","3,491,282","3,491,282","264,860","319,599","453,709","479,150","552,179","608,236","460,818","251,374","88,962","10,844","1,551","3,489,212","3,489,212","264,506","318,265","453,680","478,079","551,077","607,456","461,967","252,317","89,392","10,918","1,555","3,486,570","3,486,570","264,101","317,024","453,502","477,085","550,409","606,512","462,680","253,224","89,554","10,923","1,556"
"대구광역시  (2700000000)","2,484,688","2,484,688","206,623","273,007","330,190","332,770","431,212","422,407","271,822","150,948","58,581","6,536","592","2,484,578","2,484,578","206,544","271,870","329,868","332,173","430,028","423,302","272,491","152,048","59,016","6,637","601","2,483,488","2,483,488","206,099","270,348","330,352","331,146","428,075","424,052","273,659","152,751","59,670","6,738","598","2,483,105","2,483,105","205,712","269,076","330,939","330,727","427,035","424,507","274,338","153,213","60,155","6,804","599","2,482,476","2,482,476","205,424","267,992","331,441","329,941","426,008","424,968","274,987","153,854","60,424","6,835","602","2,481,985","2,481,985","205,169","267,084","331,668","329,663","425,423","424,850","275,822","154,338","60,564","6,815","589"
"인천광역시  (2800000000)","2,944,009","2,944,009","268,663","310,490","406,451","449,259","512,057","503,093","276,401","148,389","59,819","8,622","765","2,944,266","2,944,266","267,983","309,492","405,758","448,631","510,911","504,515","277,473","149,815","60,163","8,750","775","2,944,630","2,944,630","267,305","308,300","406,720","447,496","509,397","505,211","279,462","150,554","60,614","8,806","765","2,945,305","2,945,305","266,632","307,228","407,153","447,083","508,699","505,803","280,787","151,252","61,003","8,893","772","2,946,270","2,946,270","266,173","306,342","407,552","446,633","508,212","506,294","282,019","152,076","61,241","8,956","772","2,946,915","2,946,915","265,540","305,539","407,927","446,220","508,289","506,343","283,187","152,794","61,357","8,959","760"
"광주광역시  (2900000000)","1,469,583","1,469,583","140,398","186,873","201,676","212,813","256,156","223,418","133,348","79,717","30,673","4,157","354","1,468,527","1,468,527","140,020","185,827","201,179","212,253","256,046","224,019","133,269","80,458","30,882","4,222","352","1,467,766","1,467,766","139,626","184,887","201,557","211,228","255,676","224,529","133,819","80,552","31,243","4,298","351","1,467,002","1,467,002","139,159","184,326","201,867","210,610","255,319","224,641","134,196","80,710","31,497","4,326","351","1,466,741","1,466,741","138,843","183,595","202,367","210,141","255,027","224,792","134,573","81,019","31,691","4,343","350","1,466,451","1,466,451","138,524","183,031","202,517","209,826","254,774","224,920","134,983","81,461","31,712","4,357","346"
"대전광역시  (3000000000)","1,514,354","1,514,354","141,575","175,204","212,746","222,633","264,132","239,199","144,478","78,186","31,706","4,183","312","1,513,877","1,513,877","141,149","174,488","212,722","221,984","263,419","239,921","144,908","78,864","31,865","4,243","314","1,512,189","1,512,189","140,473","173,692","213,220","221,018","262,214","240,057","145,668","79,142","32,109","4,280","316","1,511,396","1,511,396","139,857","173,046","213,590","220,690","261,533","240,157","146,213","79,333","32,367","4,295","315","1,509,587","1,509,587","139,243","172,070","213,921","220,003","260,824","240,095","146,714","79,599","32,489","4,310","319","1,508,137","1,508,137","138,725","171,351","213,793","219,605","260,657","239,782","147,158","79,855","32,562","4,332","317"
"울산광역시  (3100000000)","1,171,656","1,171,656","115,603","132,064","158,617","176,545","206,433","205,314","109,791","47,551","17,384","2,212","142","1,169,957","1,169,957","115,232","131,089","157,913","176,207","205,526","205,815","110,339","47,932","17,518","2,243","143","1,168,843","1,168,843","115,001","130,271","157,696","175,566","204,586","206,273","111,162","48,166","17,707","2,273","142","1,168,501","1,168,501","114,829","129,736","157,722","175,224","204,084","206,505","111,759","48,351","17,860","2,288","143","1,167,960","1,167,960","114,558","129,335","157,641","174,761","203,636","206,771","112,242","48,602","17,963","2,307","144","1,167,525","1,167,525","114,371","128,905","157,644","174,378","203,391","206,879","112,687","48,795","18,003","2,327","145"
"세종특별자치시  (3600000000)","244,939","244,939","35,128","27,447","26,699","46,063","44,726","29,646","18,320","10,879","5,275","706","50","247,600","247,600","35,634","27,958","26,670","46,517","45,401","29,879","18,479","11,003","5,295","714","50","251,178","251,178","36,209","28,408","27,105","47,201","46,010","30,254","18,761","11,093","5,350","739","48","254,112","254,112","36,625","28,865","27,315","47,759","46,675","30,606","18,980","11,110","5,388","744","45","259,157","259,157","37,436","29,408","27,900","48,729","47,634","31,233","19,330","11,233","5,473","736","45","263,056","263,056","38,022","29,850","28,380","49,490","48,421","31,716","19,587","11,299","5,521","724","46"
"경기도  (4100000000)","12,728,620","12,728,620","1,248,617","1,435,457","1,688,217","1,953,339","2,313,508","2,031,171","1,117,929","643,304","257,927","35,824","3,327","12,741,266","12,741,266","1,247,928","1,431,732","1,686,087","1,952,096","2,312,067","2,040,501","1,122,561","648,911","259,860","36,162","3,361","12,753,983","12,753,983","1,245,975","1,428,867","1,692,563","1,948,815","2,307,081","2,046,690","1,130,102","651,550","262,557","36,486","3,297","12,763,961","12,763,961","1,243,421","1,426,541","1,695,679","1,946,982","2,306,053","2,051,245","1,135,553","653,867","264,470","36,853","3,297","12,775,175","12,775,175","1,241,807","1,424,877","1,698,627","1,945,825","2,305,017","2,055,054","1,141,005","656,592","266,005","37,056","3,310","12,783,741","12,783,741","1,240,394","1,423,176","1,700,372","1,944,396","2,305,930","2,057,438","1,145,539","659,590","266,614","37,039","3,253"
