iter	MultiClass
0	1.055118377
1	1.020659842
2	0.9928327433
3	0.9701793798
4	0.9514862612
5	0.9361194378
6	0.9232624103
7	0.9126324214
8	0.9036533847
9	0.8965788822
10	0.8899761354
11	0.8846630236
12	0.8799319342
13	0.876570663
14	0.8728212131
15	0.869980598
16	0.8675525394
17	0.8654998951
18	0.8637693364
19	0.8621189464
20	0.8603711697
21	0.858932803
22	0.8573483569
23	0.8562528717
24	0.8551741789
25	0.8544703234
26	0.853625434
27	0.8529452671
28	0.8524003358
29	0.8515617401
30	0.8509635758
31	0.8501236532
32	0.8494533768
33	0.8487916478
34	0.8484126582
35	0.847726258
36	0.8471738114
37	0.8467343256
38	0.846343288
39	0.8459030539
40	0.8453673378
41	0.8450524309
42	0.8446454074
43	0.8439395638
44	0.8435140663
45	0.8427871082
46	0.8426820601
47	0.8424424005
48	0.842034173
49	0.8414205806
50	0.8411518016
51	0.8407298153
52	0.8403911802
53	0.839944174
54	0.8394954042
55	0.8390704483
56	0.8386233107
57	0.8382920516
58	0.8377359067
59	0.8374022767
60	0.8370376117
61	0.8367692726
62	0.8360411316
63	0.835704643
64	0.8352540094
65	0.8348218871
66	0.8344631006
67	0.8341812706
68	0.8339693099
69	0.8336048317
70	0.833411177
71	0.8331561534
72	0.8329148798
73	0.8323272739
74	0.8321849611
75	0.8317059822
76	0.8315445973
77	0.8310127304
78	0.8305214145
79	0.8302393088
80	0.8298805929
81	0.8296816806
82	0.8294029189
83	0.8289714606
84	0.828422585
85	0.8282734192
86	0.827925359
87	0.8273691109
88	0.8270173866
89	0.8267337097
90	0.8264772764
91	0.8263167509
92	0.8258995545
93	0.8255981622
94	0.8254439474
95	0.824959961
96	0.8246169767
97	0.8243557832
98	0.8242187647
99	0.8238371451
100	0.8233921921
101	0.8231268559
102	0.8227215645
103	0.8224826625
104	0.8219580197
105	0.8217417164
106	0.8215080544
107	0.8212798276
108	0.8208346716
109	0.820329618
110	0.8201284119
111	0.819879405
112	0.8196576674
113	0.8191891795
114	0.8188142761
115	0.818651192
116	0.8183213973
117	0.8178276583
118	0.8175868307
119	0.8171621865
120	0.8169186211
121	0.816466908
122	0.8160102324
123	0.8156224249
124	0.8153895332
125	0.8152261438
126	0.8149122916
127	0.8147014603
128	0.8145161261
129	0.8143349743
130	0.8139356534
131	0.8135596864
132	0.8132263616
