iter	MAE
0	275.9878401
1	266.7593909
2	257.3215792
3	248.3841173
4	240.8440317
5	233.5179268
6	226.1595327
7	219.82173
8	213.8501308
9	208.3683257
10	202.6568402
11	197.7863287
12	192.1533683
13	187.8896853
14	183.6835231
15	178.8371251
16	174.7809544
17	171.4076294
18	168.1614926
19	164.1623614
20	160.1703807
21	156.3105299
22	153.4357132
23	151.4226511
24	148.8627637
25	146.631453
26	144.1649702
27	142.0580166
28	140.3320594
29	137.6662774
30	135.5197354
31	133.7709514
32	131.6916405
33	129.9241456
34	127.9360881
35	126.2254826
36	125.2525283
37	124.391693
38	123.434897
39	122.3145899
40	121.3686788
41	120.2967319
42	118.8414919
43	118.1530696
44	117.1354332
45	116.2241434
46	114.9882361
47	113.2162282
48	112.4858857
49	111.2972691
50	110.4759651
51	109.338158
52	108.4360883
53	107.5989685
54	106.8392681
55	105.7418962
56	105.2679239
57	104.2060586
58	103.3808824
59	102.7754864
60	102.0698316
61	101.3818835
62	100.8203529
63	100.5538363
64	100.0471182
65	99.59436365
66	99.23474372
67	98.49843978
68	98.18347789
69	97.85280937
70	97.17275728
71	96.63825127
72	95.939402
73	95.39544491
74	95.08114415
75	94.71137623
76	94.3816475
77	93.88399117
78	93.15425663
79	92.69169819
80	92.38858345
81	92.03168784
82	91.47895831
83	90.82216041
84	90.47556943
85	89.69576288
86	89.46375992
87	89.04368178
88	88.62693694
89	87.96373049
90	87.48890296
91	87.20637913
92	86.51411635
93	86.23642253
94	85.63828834
95	84.97127532
96	84.47254394
97	84.09288235
98	83.75971933
99	83.58200022
100	82.97468767
101	82.54425167
102	81.87552802
103	81.7027542
104	81.16836023
105	81.03933884
106	80.70851379
107	80.55233051
108	80.47295014
109	80.03070903
110	79.65635213
111	79.53066735
112	79.11069036
113	78.76015053
114	78.56042217
115	78.40740629
116	78.1434184
117	78.02364677
118	77.92520347
119	77.60782784
120	77.22583582
121	76.81045268
122	76.52602947
123	76.38151256
124	75.6845515
125	75.54238509
126	75.06251264
127	74.78284534
128	74.61149535
129	74.24274726
130	74.07291719
131	73.71097024
132	73.33288853
133	73.01966903
134	72.73785648
135	72.36254877
136	72.10680958
137	71.7302672
138	71.57664795
139	71.49569786
140	71.266243
141	70.91435258
142	70.78327762
143	70.59469207
144	70.50844349
145	70.27628509
146	70.21802411
147	69.97035158
148	69.73918403
149	69.35584118
150	69.06475904
151	68.70410841
152	68.21740438
153	67.84880468
154	67.50683167
155	67.0542484
156	66.8719758
157	66.77673754
158	66.58069306
159	66.44599263
160	66.17589215
161	65.9007468
162	65.73485954
163	65.59500577
164	65.30341388
165	65.23719799
166	65.03057935
167	64.78554656
168	64.67199152
169	64.53065472
170	64.39345305
171	64.2395003
172	64.09087495
173	63.57685417
174	63.44784756
175	63.20167426
176	62.98025474
177	62.88630766
178	62.52151014
179	62.11019306
180	61.99916222
181	61.85829794
182	61.78961872
183	61.58635789
184	61.45091539
185	61.33330972
186	61.0923277
187	60.99042227
188	60.87843674
189	60.74069078
190	60.54586769
191	60.46734979
192	60.39694906
193	60.14678101
194	59.99683917
195	59.8602258
196	59.56075568
197	59.41519433
198	59.35967803
199	59.24452119
200	59.11134653
201	58.95858541
202	58.80631368
203	58.54021342
204	58.16881617
205	58.03275367
206	57.9630423
207	57.83133203
208	57.6215666
209	57.55129055
210	57.49256997
211	57.32787058
212	57.2248787
213	57.07043679
214	56.90475169
215	56.72747408
216	56.60211822
217	56.4278619
218	56.27044329
219	56.05208247
220	55.66766079
221	55.45868484
222	55.09955774
223	54.89686743
224	54.65049374
225	54.47310038
226	54.25719605
227	54.10140927
228	53.96910125
229	53.80258949
230	53.69354716
231	53.57584588
232	53.53523018
233	53.38258489
234	53.30465106
235	52.96267517
236	52.89948749
237	52.81157953
238	52.57663199
239	52.46929644
240	52.28453744
241	52.1400132
242	52.06486421
243	51.97789985
244	51.86560897
245	51.77956649
246	51.67964367
247	51.37511948
248	51.32357691
249	51.31022805
250	51.25833708
251	51.17399466
252	51.01493778
253	50.90431067
254	50.65015976
255	50.63576976
256	50.34977838
257	50.19883516
258	50.18318295
259	49.99076115
260	49.80459977
261	49.69853558
262	49.62111599
263	49.51827479
264	49.48319774
265	49.16081361
266	49.01355457
267	49.00377059
268	48.98702976
269	48.90523696
270	48.8258651
271	48.6090746
272	48.53330563
273	48.42930367
274	48.25234598
275	48.14333115
276	48.11016239
277	48.03567026
278	47.98376292
279	47.66155748
280	47.60423318
281	47.46654931
282	47.32071576
283	47.06916397
284	46.91240415
285	46.75934858
286	46.63880006
287	46.47981748
288	46.42269738
289	46.27263349
290	46.2122952
291	46.12945647
292	45.91403902
293	45.84268573
294	45.79204367
295	45.62106319
296	45.50485702
297	45.32923868
298	45.24381639
299	45.17516279
300	45.1697418
301	45.12500336
302	44.88117304
303	44.8171343
304	44.73423805
305	44.70977145
306	44.66884797
307	44.4248275
308	44.37848955
309	44.26856568
310	44.15570958
311	44.04101279
312	43.99558218
313	43.94552495
314	43.8289956
315	43.81400116
316	43.79750817
317	43.73323123
318	43.59535376
319	43.56497453
320	43.49530094
321	43.42613181
322	43.36968552
323	43.34340704
324	43.33100021
325	43.20634168
326	43.05436865
327	42.97502815
328	42.89742123
329	42.86254776
330	42.85669711
331	42.68779806
332	42.60013128
333	42.49312455
334	42.47670448
335	42.41022949
336	42.2690617
337	42.25492637
338	42.22942565
339	42.21099542
340	42.1832654
341	42.08648835
342	42.07435818
343	42.02043157
344	41.93332779
345	41.86924042
346	41.81714798
347	41.72522639
348	41.6149344
349	41.56736479
350	41.5615222
351	41.52490845
352	41.45600933
353	41.38387362
354	41.31505192
355	41.25481403
356	41.20212878
357	41.11212154
358	41.06853969
359	40.93577769
360	40.89912438
361	40.8152106
362	40.78885533
363	40.75324002
