code,num
C1072,694.89
C1128,1182.82
C1456,481.82
C1840,545.32
C1332,1047.36
C1563,1680.1
C1794,931.24
C1640,502.88
C1377,389.4
C2072,259.41
C1472,436.14
C1006,252.31
C1083,439.06
C1311,255.69
C2676,231.23
C2318,353.32
C1603,434.64
C2523,284.44
C2177,179.96
C2411,687.1
C2033,252.17
C1604,560.03
C2535,582.3
C1040,513.75
C2417,446.69
C1812,147.24
C2253,128.05
C1294,611.86
C1772,460.11
C2646,553.84
C1152,912.81
C2423,143.17
C1844,379.26
C1318,232.3
C1729,87.07
C1602,287.8
C1239,409.37
C1721,558.68
C1902,781.38
C1855,318.28
C2600,455.1
C1071,541.59
C2295,501.78
C1621,504.25
C1852,751.01
C2555,1138.42
C1297,460.44
C2323,587.2
C2215,401.79
C2112,380.84
C1830,721.51
C2602,288.37
C2608,1152.9
C1215,683.14
C2369,662.62
C1158,307.38
C1887,499.78
C1189,273.89
C1637,470.22
C1225,88.41
C2374,384.79
C2397,598.58
C1105,1002.19
C1782,496.45
C1629,86.9
C1708,278.27
C2144,668.51
C1617,1117.12
C1149,531.55
C1323,415.95
C1064,676.9
C1019,292.93
C2269,588.75
C1416,729.41
C1250,792.91
C1741,486.85
C1016,682.73
C2675,884.4
C2436,742.21
C2039,763.18
C1253,626.46
C2028,1161.06
C1166,338.38
C1135,250.12
C1216,330.93
C1593,222.07
C1826,255.85
C1827,424.02
C1564,253.24
C1495,994.55
C2653,930.56
C1392,665.59
C2128,303.25
C1282,510.77
C1521,1129.56
C2076,917.82
C1060,595.67
C2473,1045.22
C2557,860.71
C1835,814.64
C2224,888.36
C2222,422.42
C2430,755.8
C2497,542.65
C1494,921.91
C1457,525.83
C1525,1121.66
C1712,583.14
C2267,901.69
C1623,279.78
C2131,573.33
C2691,1049.3
C1147,801.25
C1692,843.74
C1570,902.4
C1474,132.19
C1633,174.17
C2113,542.98
C2175,805.5
C2303,1298.42
C2547,590.55
C2292,782.19
C1496,716.32
C1289,401.91
C1849,674.62
C1003,282.47
C2268,487.53
C2551,605.46
C2688,83.76
C1030,30.08
C1327,93.92
C2451,514.48
C1749,548.9
C1349,295.41
C2043,276.28
C1229,271.2
C2363,465.11
C1414,445.92
C2174,513.89
C2091,106.43
C2335,710.18
C1841,66.12
C2404,130.86
C1683,283.83
C1038,349.52
C2456,275.95
C1266,495.61
C2152,29.81
C1267,446.52
C2189,246.07
