code,num
C1072,710.64355
C1128,1156.9935
C1456,439.97632
C1840,637.83545
C1332,1076.4773
C1563,1886.7426
C1794,1054.0092
C1640,399.46744
C1377,355.95306
C2072,321.63586
C1472,460.57278
C1006,316.37894
C1083,329.51773
C1311,334.80618
C2676,493.58325
C2318,148.36444
C1603,395.8758
C2523,321.60016
C2177,182.18666
C2411,751.04425
C2033,311.028
C1604,435.9168
C2535,581.3603
C1040,284.3378
C2417,401.013
C1812,191.49663
C2253,108.593025
C1294,463.47574
C1772,520.6806
C2646,594.0671
C1152,901.0904
C2423,119.17919
C1844,353.4142
C1318,240.68251
C1729,92.483284
C1602,312.86618
C1239,374.9052
C1721,616.0674
C1902,880.3883
C1855,300.57755
C2600,431.8804
C1071,560.5282
C2295,403.06323
C1621,613.294
C1852,783.0622
C2555,1479.3083
C1297,401.61935
C2323,632.5861
C2215,408.67218
C2112,329.22128
C1830,775.5672
C2602,258.21106
C2608,1021.4417
C1215,639.2981
C2369,524.9359
C1158,257.2811
C1887,526.8244
C1189,246.69116
C1637,464.71735
C1225,143.5238
C2374,385.51813
C2397,626.9096
C1105,974.5512
C1782,480.67188
C1629,137.39043
C1708,306.26132
C2144,572.622
C1617,892.67957
C1149,524.5307
C1323,367.43213
C1064,725.54395
C1019,301.42984
C2269,641.37384
C1416,784.25543
C1250,871.6729
C1741,319.66757
C1016,666.89166
C2675,925.90955
C2436,731.1193
C2039,748.51965
C1253,872.42804
C2028,973.03485
C1166,344.52963
C1135,248.28278
C1216,298.30963
C1593,218.48723
C1826,237.84692
C1827,384.4516
C1564,329.77643
C1495,1005.1816
C2653,912.4471
C1392,621.8326
C2128,340.4005
C1282,697.3432
C1521,1112.2557
C2076,898.0649
C1060,588.69214
C2473,1117.8297
C2557,701.51
C1835,843.86945
C2224,851.2584
C2222,386.75983
C2430,780.62915
C2497,556.802
C1494,978.7185
C1457,592.7378
C1525,1232.3413
C1712,688.75604
C2267,897.2596
C1623,283.4485
C2131,521.47815
C2691,1004.9692
C1147,868.98126
C1692,825.3872
C1570,804.86304
C1474,114.16378
C1633,114.076454
C2113,661.979
C2175,749.67334
C2303,1690.2924
C2547,593.34314
C2292,862.00946
C1496,816.5262
C1289,375.9462
C1849,634.8284
C1003,299.8411
C2268,462.1898
C2551,606.9232
C2688,112.87817
C1030,21.53157
C1327,102.67532
C2451,519.24805
C1749,503.08383
C1349,328.29422
C2043,234.57045
C1229,231.8436
C2363,466.13156
C1414,422.50882
C2174,509.34232
C2091,136.81755
C2335,552.1329
C1841,77.45017
C2404,118.486206
C1683,204.10602
C1038,258.96063
C2456,238.83276
C1266,499.13022
C2152,75.10825
C1267,406.8243
C2189,195.96907
