행정구역,연도,월,연령대,인구수
서울특별시,2015,1,0~9세,792353
부산광역시,2015,1,0~9세,263747
대구광역시,2015,1,0~9세,208324
인천광역시,2015,1,0~9세,269998
광주광역시,2015,1,0~9세,144939
대전광역시,2015,1,0~9세,148286
울산광역시,2015,1,0~9세,114937
세종특별자치시,2015,1,0~9세,20509
경기도,2015,1,0~9세,1242727
강원도,2015,1,0~9세,124196
충청북도,2015,1,0~9세,142568
충청남도,2015,1,0~9세,195944
전라북도,2015,1,0~9세,160959
전라남도,2015,1,0~9세,156946
경상북도,2015,1,0~9세,222599
경상남도,2015,1,0~9세,316225
제주특별자치도,2015,1,0~9세,61777
서울특별시,2015,1,10~19세,1039405
부산광역시,2015,1,10~19세,365123
대구광역시,2015,1,10~19세,305475
인천광역시,2015,1,10~19세,338504
광주광역시,2015,1,10~19세,206910
대전광역시,2015,1,10~19세,195258
울산광역시,2015,1,10~19세,147332
세종특별자치시,2015,1,10~19세,18037
경기도,2015,1,10~19세,1528317
강원도,2015,1,10~19세,177970
충청북도,2015,1,10~19세,188001
충청남도,2015,1,10~19세,236516
전라북도,2015,1,10~19세,227515
전라남도,2015,1,10~19세,219662
경상북도,2015,1,10~19세,289659
경상남도,2015,1,10~19세,401029
제주특별자치도,2015,1,10~19세,79023
서울특별시,2015,1,20~29세,1455881
부산광역시,2015,1,20~29세,455687
대구광역시,2015,1,20~29세,323766
인천광역시,2015,1,20~29세,398128
광주광역시,2015,1,20~29세,197694
대전광역시,2015,1,20~29세,209904
울산광역시,2015,1,20~29세,156331
세종특별자치시,2015,1,20~29세,17986
경기도,2015,1,20~29세,1608280
강원도,2015,1,20~29세,181556
충청북도,2015,1,20~29세,193485
충청남도,2015,1,20~29세,241725
전라북도,2015,1,20~29세,217286
전라남도,2015,1,20~29세,203664
경상북도,2015,1,20~29세,311768
경상남도,2015,1,20~29세,391406
제주특별자치도,2015,1,20~29세,71032
서울특별시,2015,1,30~39세,1711731
부산광역시,2015,1,30~39세,503003
대구광역시,2015,1,30~39세,351921
인천광역시,2015,1,30~39세,460586
광주광역시,2015,1,30~39세,227405
대전광역시,2015,1,30~39세,236980
울산광역시,2015,1,30~39세,182315
세종특별자치시,2015,1,30~39세,28963
경기도,2015,1,30~39세,1987086
강원도,2015,1,30~39세,193755
