행정구역,기간,인구수
전국  (0000000000),2015년01월_계_총인구수,"51,342,881"
서울특별시  (1100000000),2015년01월_계_총인구수,"10,104,515"
부산광역시  (2600000000),2015년01월_계_총인구수,"3,517,898"
대구광역시  (2700000000),2015년01월_계_총인구수,"2,492,658"
인천광역시  (2800000000),2015년01월_계_총인구수,"2,904,876"
광주광역시  (2900000000),2015년01월_계_총인구수,"1,476,891"
대전광역시  (3000000000),2015년01월_계_총인구수,"1,531,287"
울산광역시  (3100000000),2015년01월_계_총인구수,"1,167,232"
세종특별자치시  (3600000000),2015년01월_계_총인구수,"161,716"
경기도  (4100000000),2015년01월_계_총인구수,"12,366,711"
강원도  (4200000000),2015년01월_계_총인구수,"1,543,640"
충청북도  (4300000000),2015년01월_계_총인구수,"1,578,531"
충청남도  (4400000000),2015년01월_계_총인구수,"2,063,050"
전라북도  (4500000000),2015년01월_계_총인구수,"1,871,018"
전라남도  (4600000000),2015년01월_계_총인구수,"1,904,220"
경상북도  (4700000000),2015년01월_계_총인구수,"2,699,275"
경상남도  (4800000000),2015년01월_계_총인구수,"3,351,038"
제주특별자치도  (5000000000),2015년01월_계_총인구수,"608,325"
전국  (0000000000),2015년01월_계_연령구간인구수,"51,342,881"
서울특별시  (1100000000),2015년01월_계_연령구간인구수,"10,104,515"
부산광역시  (2600000000),2015년01월_계_연령구간인구수,"3,517,898"
대구광역시  (2700000000),2015년01월_계_연령구간인구수,"2,492,658"
인천광역시  (2800000000),2015년01월_계_연령구간인구수,"2,904,876"
광주광역시  (2900000000),2015년01월_계_연령구간인구수,"1,476,891"
대전광역시  (3000000000),2015년01월_계_연령구간인구수,"1,531,287"
울산광역시  (3100000000),2015년01월_계_연령구간인구수,"1,167,232"
세종특별자치시  (3600000000),2015년01월_계_연령구간인구수,"161,716"
경기도  (4100000000),2015년01월_계_연령구간인구수,"12,366,711"
강원도  (4200000000),2015년01월_계_연령구간인구수,"1,543,640"
충청북도  (4300000000),2015년01월_계_연령구간인구수,"1,578,531"
충청남도  (4400000000),2015년01월_계_연령구간인구수,"2,063,050"
전라북도  (4500000000),2015년01월_계_연령구간인구수,"1,871,018"
전라남도  (4600000000),2015년01월_계_연령구간인구수,"1,904,220"
경상북도  (4700000000),2015년01월_계_연령구간인구수,"2,699,275"
경상남도  (4800000000),2015년01월_계_연령구간인구수,"3,351,038"
제주특별자치도  (5000000000),2015년01월_계_연령구간인구수,"608,325"
전국  (0000000000),2015년01월_계_0~9세,"4,587,034"
서울특별시  (1100000000),2015년01월_계_0~9세,"792,353"
부산광역시  (2600000000),2015년01월_계_0~9세,"263,747"
대구광역시  (2700000000),2015년01월_계_0~9세,"208,324"
인천광역시  (2800000000),2015년01월_계_0~9세,"269,998"
광주광역시  (2900000000),2015년01월_계_0~9세,"144,939"
대전광역시  (3000000000),2015년01월_계_0~9세,"148,286"
울산광역시  (3100000000),2015년01월_계_0~9세,"114,937"
세종특별자치시  (3600000000),2015년01월_계_0~9세,"20,509"
경기도  (4100000000),2015년01월_계_0~9세,"1,242,727"
강원도  (4200000000),2015년01월_계_0~9세,"124,196"
충청북도  (4300000000),2015년01월_계_0~9세,"142,568"
충청남도  (4400000000),2015년01월_계_0~9세,"195,944"
전라북도  (4500000000),2015년01월_계_0~9세,"160,959"
전라남도  (4600000000),2015년01월_계_0~9세,"156,946"
경상북도  (4700000000),2015년01월_계_0~9세,"222,599"
경상남도  (4800000000),2015년01월_계_0~9세,"316,225"
제주특별자치도  (5000000000),2015년01월_계_0~9세,"61,777"
전국  (0000000000),2015년01월_계_10~19세,"5,963,736"
서울특별시  (1100000000),2015년01월_계_10~19세,"1,039,405"
부산광역시  (2600000000),2015년01월_계_10~19세,"365,123"
대구광역시  (2700000000),2015년01월_계_10~19세,"305,475"
인천광역시  (2800000000),2015년01월_계_10~19세,"338,504"
광주광역시  (2900000000),2015년01월_계_10~19세,"206,910"
대전광역시  (3000000000),2015년01월_계_10~19세,"195,258"
울산광역시  (3100000000),2015년01월_계_10~19세,"147,332"
세종특별자치시  (3600000000),2015년01월_계_10~19세,"18,037"
경기도  (4100000000),2015년01월_계_10~19세,"1,528,317"
강원도  (4200000000),2015년01월_계_10~19세,"177,970"
충청북도  (4300000000),2015년01월_계_10~19세,"188,001"
충청남도  (4400000000),2015년01월_계_10~19세,"236,516"
전라북도  (4500000000),2015년01월_계_10~19세,"227,515"
전라남도  (4600000000),2015년01월_계_10~19세,"219,662"
경상북도  (4700000000),2015년01월_계_10~19세,"289,659"
경상남도  (4800000000),2015년01월_계_10~19세,"401,029"
제주특별자치도  (5000000000),2015년01월_계_10~19세,"79,023"
