"행정구역","2015년07월_계_총인구수","2015년07월_계_연령구간인구수","2015년07월_계_0~9세","2015년07월_계_10~19세","2015년07월_계_20~29세","2015년07월_계_30~39세","2015년07월_계_40~49세","2015년07월_계_50~59세","2015년07월_계_60~69세","2015년07월_계_70~79세","2015년07월_계_80~89세","2015년07월_계_90~99세","2015년07월_계_100세 이상","2015년08월_계_총인구수","2015년08월_계_연령구간인구수","2015년08월_계_0~9세","2015년08월_계_10~19세","2015년08월_계_20~29세","2015년08월_계_30~39세","2015년08월_계_40~49세","2015년08월_계_50~59세","2015년08월_계_60~69세","2015년08월_계_70~79세","2015년08월_계_80~89세","2015년08월_계_90~99세","2015년08월_계_100세 이상","2015년09월_계_총인구수","2015년09월_계_연령구간인구수","2015년09월_계_0~9세","2015년09월_계_10~19세","2015년09월_계_20~29세","2015년09월_계_30~39세","2015년09월_계_40~49세","2015년09월_계_50~59세","2015년09월_계_60~69세","2015년09월_계_70~79세","2015년09월_계_80~89세","2015년09월_계_90~99세","2015년09월_계_100세 이상","2015년10월_계_총인구수","2015년10월_계_연령구간인구수","2015년10월_계_0~9세","2015년10월_계_10~19세","2015년10월_계_20~29세","2015년10월_계_30~39세","2015년10월_계_40~49세","2015년10월_계_50~59세","2015년10월_계_60~69세","2015년10월_계_70~79세","2015년10월_계_80~89세","2015년10월_계_90~99세","2015년10월_계_100세 이상","2015년11월_계_총인구수","2015년11월_계_연령구간인구수","2015년11월_계_0~9세","2015년11월_계_10~19세","2015년11월_계_20~29세","2015년11월_계_30~39세","2015년11월_계_40~49세","2015년11월_계_50~59세","2015년11월_계_60~69세","2015년11월_계_70~79세","2015년11월_계_80~89세","2015년11월_계_90~99세","2015년11월_계_100세 이상","2015년12월_계_총인구수","2015년12월_계_연령구간인구수","2015년12월_계_0~9세","2015년12월_계_10~19세","2015년12월_계_20~29세","2015년12월_계_30~39세","2015년12월_계_40~49세","2015년12월_계_50~59세","2015년12월_계_60~69세","2015년12월_계_70~79세","2015년12월_계_80~89세","2015년12월_계_90~99세","2015년12월_계_100세 이상"
"전국  (0000000000)","51,448,183","51,448,183","4,598,597","5,834,450","6,670,062","7,715,209","8,908,905","8,256,304","4,914,198","3,192,709","1,181,435","160,624","15,690","51,465,228","51,465,228","4,598,845","5,813,684","6,674,530","7,704,625","8,901,858","8,268,119","4,940,739","3,195,528","1,189,039","162,434","15,827","51,482,816","51,482,816","4,596,648","5,791,668","6,682,406","7,698,049","8,890,284","8,278,551","4,974,345","3,191,316","1,198,657","164,903","15,989","51,500,986","51,500,986","4,599,033","5,767,909","6,686,405","7,692,185","8,879,796","8,291,507","5,008,171","3,188,491","1,206,256","165,160","16,073","51,515,399","51,515,399","4,598,486","5,744,938","6,691,310","7,685,597","8,871,542","8,304,828","5,039,393","3,183,732","1,214,168","165,265","16,140","51,529,338","51,529,338","4,601,688","5,717,089","6,699,048","7,670,966","8,858,993","8,324,791","5,073,279","3,176,437","1,225,210","165,628","16,209"
"서울특별시  (1100000000)","10,071,654","10,071,654","789,134","1,010,992","1,455,891","1,687,656","1,719,525","1,591,167","1,014,922","582,461","185,867","29,122","4,917","10,063,197","10,063,197","787,669","1,006,722","1,455,011","1,683,722","1,716,158","1,590,184","1,018,693","583,697","187,025","29,365","4,951","10,055,027","10,055,027","786,090","1,002,134","1,453,974","1,680,321","1,712,858","1,589,010","1,023,940","583,564","188,480","29,662","4,994","10,045,027","10,045,027","785,313","996,663","1,451,649","1,677,248","1,709,143","1,588,275","1,028,883","583,325","189,809","29,714","5,005","10,035,597","10,035,597","783,962","991,833","1,449,761","1,673,798","1,706,137","1,588,093","1,033,073","583,050","191,167","29,702","5,021","10,022,181","10,022,181","783,299","985,790","1,447,221","1,668,253","1,701,609","1,588,333","1,037,752","582,367","192,801","29,719","5,037"
"부산광역시  (2600000000)","3,518,955","3,518,955","266,196","355,099","456,455","498,306","573,623","622,605","418,915","240,762","76,392","9,153","1,449","3,517,907","3,517,907","266,385","353,296","456,401","497,652","572,658","621,802","421,191","241,038","76,757","9,271","1,456","3,516,704","3,516,704","266,376","351,437","456,580","496,813","571,341","621,005","424,158","240,716","77,409","9,400","1,469","3,515,689","3,515,689","266,657","349,370","456,571","495,998","570,408","620,287","427,137","240,453","77,894","9,435","1,479","3,514,842","3,514,842","266,791","347,612","456,514","495,118","569,550","619,825","429,959","240,093","78,421","9,476","1,483","3,513,777","3,513,777","267,227","345,503","456,514","493,958","568,218","619,703","432,899","239,641","79,128","9,497","1,489"
"대구광역시  (2700000000)","2,490,799","2,490,799","208,457","297,024","325,496","346,928","442,307","416,706","246,018","150,251","51,301","5,789","522","2,490,621","2,490,621","208,363","295,719","326,058","345,984","441,697","417,159","247,341","150,304","51,609","5,855","532","2,490,584","2,490,584","208,156","294,412","326,584","345,345","441,046","417,496","249,003","149,960","52,060","5,988","534","2,489,847","2,489,847","208,084","292,862","326,782","344,478","440,162","418,213","250,639","149,679","52,418","5,991","539","2,489,339","2,489,339","207,976","291,425","326,987","343,714","439,715","418,720","252,187","149,341","52,744","5,989","541","2,487,829","2,487,829","208,115","289,590","326,755","342,633","438,674","419,653","253,693","148,884","53,282","6,007","543"
"인천광역시  (2800000000)","2,916,719","2,916,719","271,407","330,527","400,633","457,359","519,021","488,338","246,552","141,969","52,523","7,725","665","2,918,982","2,918,982","271,455","329,473","400,966","456,998","518,765","489,390","248,205","142,312","52,946","7,801","671","2,920,938","2,920,938","271,318","328,201","401,437","457,126","517,870","490,462","250,312","142,293","53,354","7,884","681","2,923,030","2,923,030","271,632","326,868","401,764","456,978","517,284","491,660","252,131","142,377","53,738","7,906","692","2,924,578","2,924,578","271,663","325,836","401,863","456,772","516,863","492,602","253,876","142,333","54,163","7,911","696","2,925,815","2,925,815","271,758","324,530","402,113","455,898","516,105","494,119","255,834","142,147","54,650","7,960","701"
"광주광역시  (2900000000)","1,476,716","1,476,716","144,247","201,704","199,077","224,351","260,614","214,653","123,980","76,518","27,522","3,736","314","1,476,152","1,476,152","144,147","200,825","199,174","223,604","260,217","215,297","124,467","76,652","27,666","3,791","312","1,475,590","1,475,590","143,857","199,970","199,429","223,023","259,673","215,790","125,192","76,660","27,836","3,848","312","1,474,603","1,474,603","143,912","199,042","199,386","222,319","258,924","216,366","125,845","76,671","27,979","3,848","311","1,474,910","1,474,910","143,793","198,327","199,499","221,996","258,780","216,880","126,678","76,643","28,133","3,870","311","1,472,199","1,472,199","143,700","197,005","198,686","221,036","258,049","217,366","127,348","76,489","28,346","3,860","314"
"대전광역시  (3000000000)","1,525,195","1,525,195","146,650","189,742","210,907","232,375","269,055","237,873","130,122","76,438","28,010","3,753","270","1,524,025","1,524,025","146,311","188,771","211,082","231,651","268,608","237,941","130,815","76,554","28,210","3,814","268","1,523,338","1,523,338","145,951","187,881","211,242","231,227","268,158","238,133","131,662","76,473","28,439","3,901","271","1,522,288","1,522,288","145,700","186,954","211,289","230,573","267,821","238,261","132,539","76,360","28,610","3,902","279","1,521,142","1,521,142","145,422","186,114","211,041","230,066","267,472","238,450","133,322","76,248","28,824","3,903","280","1,518,775","1,518,775","145,049","184,964","210,749","228,720","267,008","238,664","134,281","76,136","29,005","3,918","281"
"울산광역시  (3100000000)","1,170,232","1,170,232","115,953","143,033","157,471","181,140","214,283","198,609","96,217","45,964","15,456","1,970","136","1,170,640","1,170,640","116,058","142,389","157,539","181,028","213,970","198,967","96,938","46,050","15,561","2,005","135","1,170,980","1,170,980","115,989","141,772","157,831","180,913","213,397","199,453","97,785","46,028","15,645","2,029","138","1,173,050","1,173,050","116,209","141,419","158,128","181,129","213,282","200,240","98,692","46,016","15,760","2,034","141","1,174,051","1,174,051","116,239","140,834","158,457","181,262","212,840","200,860","99,550","45,967","15,848","2,055","139","1,173,534","1,173,534","116,241","139,958","158,615","180,833","211,988","201,390","100,468","45,817","16,011","2,074","139"
"세종특별자치시  (3600000000)","189,478","189,478","25,930","21,220","20,654","35,024","33,412","23,850","14,161","10,139","4,456","600","32","194,173","194,173","26,881","21,772","21,083","36,069","34,365","24,268","14,405","10,179","4,506","613","32","197,964","197,964","27,556","22,038","21,554","37,062","34,942","24,678","14,690","10,220","4,568","624","32","202,214","202,214","28,336","22,466","21,953","38,152","35,692","25,078","15,007","10,274","4,602","621","33","206,044","206,044","29,037","22,825","22,440","39,059","36,352","25,419","15,294","10,330","4,634","620","34","210,884","210,884","29,825","23,398","23,043","40,025","37,370","25,872","15,614","10,351","4,718","634","34"
"경기도  (4100000000)","12,444,924","12,444,924","1,246,041","1,506,001","1,626,006","1,970,134","2,306,912","1,928,491","989,375","614,482","222,920","31,658","2,904","12,460,604","12,460,604","1,246,899","1,502,458","1,628,830","1,969,205","2,306,534","1,934,928","995,951","616,109","224,755","31,993","2,942","12,475,565","12,475,565","1,247,377","1,497,680","1,632,349","1,969,187","2,305,379","1,940,939","1,004,015","616,230","226,870","32,571","2,968","12,491,080","12,491,080","1,248,546","1,492,787","1,635,095","1,969,890","2,304,351","1,947,087","1,012,511","616,573","228,589","32,665","2,986","12,504,790","12,504,790","1,249,456","1,486,308","1,638,053","1,970,648","2,303,870","1,953,744","1,019,970","616,494","230,533","32,704","3,010","12,522,606","12,522,606","1,251,234","1,479,739","1,644,870","1,969,170","2,302,937","1,962,003","1,027,712","616,198","232,931","32,804","3,008"
