iter	Passed	Remaining
0	4	4307
1	7	3910
2	11	3819
3	24	6025
4	28	5760
5	32	5452
6	37	5384
7	42	5242
8	58	6422
9	65	6464
10	70	6318
11	74	6134
12	83	6311
13	91	6455
14	97	6416
15	102	6287
16	112	6506
17	119	6530
18	129	6687
19	134	6583
20	138	6456
21	147	6547
22	151	6425
23	155	6321
24	160	6243
25	167	6280
26	173	6248
27	182	6324
28	186	6242
29	190	6149
30	194	6084
31	199	6025
32	204	5995
33	209	5938
34	215	5939
35	221	5918
36	226	5907
37	231	5857
38	237	5845
39	242	5813
40	256	5990
41	263	6008
42	268	5968
43	271	5906
44	276	5868
45	281	5830
46	285	5781
47	289	5741
48	293	5698
49	301	5727
50	305	5686
51	318	5806
52	323	5783
53	331	5801
54	335	5771
55	340	5746
56	345	5714
57	349	5668
58	353	5633
59	359	5629
60	365	5625
61	369	5585
62	374	5576
63	380	5568
64	384	5531
65	395	5596
66	401	5590
67	405	5554
68	411	5554
69	417	5551
70	422	5524
71	427	5505
72	431	5480
73	436	5463
74	445	5494
75	450	5473
76	456	5472
77	462	5461
78	465	5429
79	469	5399
80	476	5401
81	480	5381
82	485	5366
83	490	5346
84	494	5321
85	498	5298
86	502	5273
87	506	5247
88	513	5253
89	519	5257
90	527	5265
91	532	5256
92	537	5242
93	542	5225
94	547	5215
95	552	5199
96	557	5192
97	561	5169
98	565	5145
99	569	5126
100	576	5133
101	586	5163
102	590	5144
103	595	5127
104	599	5106
105	603	5087
106	611	5104
107	616	5089
108	623	5099
109	629	5090
110	633	5070
111	640	5081
112	645	5069
113	649	5050
114	654	5033
115	661	5040
116	665	5020
117	668	4998
118	672	4977
119	677	4971
120	682	4957
121	691	4972
122	697	4971
123	702	4961
124	707	4950
125	711	4932
126	715	4919
127	720	4911
128	727	4914
129	731	4897
130	736	4884
131	743	4886
132	746	4868
133	751	4853
134	762	4886
135	766	4870
136	779	4909
137	783	4892
138	790	4895
139	795	4884
140	799	4868
141	809	4892
142	814	4883
143	827	4921
144	835	4927
145	841	4921
146	846	4911
147	851	4901
148	856	4892
149	861	4881
150	864	4863
151	868	4846
152	880	4871
153	887	4873
154	891	4859
155	895	4842
156	899	4829
157	907	4835
158	912	4828
159	916	4813
160	924	4816
161	928	4801
162	932	4788
163	942	4802
164	945	4786
165	950	4774
166	956	4770
167	960	4758
168	964	4743
169	976	4766
170	982	4764
171	987	4752
172	991	4740
173	995	4728
174	1002	4725
175	1006	4711
176	1012	4708
177	1025	4733
178	1028	4718
179	1033	4707
180	1040	4706
181	1043	4690
182	1051	4696
183	1055	4682
184	1060	4670
185	1064	4656
186	1073	4665
187	1077	4653
188	1082	4644
189	1089	4642
190	1092	4629
191	1103	4642
